,salo,jing
129P04104,58.0,53.0
129P04105,64.0,60.0
129P04106,63.0,59.0
129P04107,66.0,61.0
129P04108,64.0,59.0
129P04109,63.0,58.0
129P04110,63.0,58.0
129P04111,63.0,59.0
129P04113,63.0,57.0
129P04114,60.0,55.0
129P04115,60.0,54.0
129P04120,57.0,21.0
129P04121,58.0,19.0
129P04122,59.0,42.0
129P04123,57.0,49.0
129P04124,57.0,52.0
129P04127,70.0,58.0
129P04128,68.0,61.0
129P04129,67.0,61.0
129P04130,68.0,62.0
129P04131,72.0,65.0
129P04132,72.0,64.0
129P04133,72.0,65.0
129P04134,65.0,59.0
129P04135,71.0,65.0
129P04136,72.0,65.0
129P04137,71.0,65.0
129P04138,72.0,65.0
129P04139,69.0,64.0
129P04140,70.0,65.0
129P04285,69.0,64.0
129P04286,71.0,65.0
129P04287,72.0,65.0
129P04288,72.0,65.0
129P04289,71.0,65.0
129P04290,70.0,65.0
129P04291,71.0,65.0
129P04292,72.0,65.0
129P04294,68.0,61.0
129P04295,69.0,63.0
129P04296,70.0,64.0
129P04297,69.0,63.0
129P04298,71.0,65.0
129P04299,71.0,65.0
129P04300,69.0,64.0
129P04301,71.0,65.0
129P04302,69.0,64.0
129P04303,70.0,65.0
129P04304,71.0,65.0
129P04305,68.0,63.0
129P04306,69.0,64.0
129P04307,69.0,56.0
129P04308,70.0,64.0
129P04309,69.0,64.0
129P04311,68.0,63.0
129P04312,68.0,64.0
129P04313,67.0,63.0
129P04314,66.0,63.0
129P04316,69.0,65.0
129P04317,69.0,64.0
129P04318,69.0,64.0
129P04319,69.0,65.0
129P04320,69.0,64.0
129P04321,70.0,65.0
129P04322,71.0,65.0
129P04323,70.0,65.0
129P04324,68.0,63.0
129P04346,71.0,65.0
129P04347,74.0,65.0
129P04348,71.0,65.0
129P04349,75.0,65.0
129P04350,71.0,65.0
129P04352,67.0,62.0
129P04353,66.0,61.0
129P04354,65.0,60.0
129P04355,65.0,60.0
129P04356,68.0,64.0
129P04357,67.0,63.0
129P04358,68.0,62.0
129P04359,65.0,59.0
129P04360,66.0,63.0
129P04361,67.0,60.0
129P04362,69.0,63.0
129P04364,69.0,59.0
129P04365,68.0,61.0
129P04366,67.0,61.0
129P04367,67.0,62.0
129P04368,68.0,63.0
129P04369,68.0,63.0
129P04370,66.0,62.0
129P04371,69.0,62.0
129P04372,66.0,62.0
129P04373,68.0,62.0
129P04374,68.0,62.0
129P04375,65.0,59.0
129P04377,64.0,61.0
129P04378,68.0,63.0
129P04379,66.0,62.0
129P04380,67.0,63.0
129P04381,66.0,62.0
129P04382,68.0,62.0
129P04383,69.0,62.0
129P04384,66.0,58.0
129P04385,61.0,54.0
129P04386,71.0,65.0
129P04387,72.0,65.0
129P04388,72.0,65.0
129P04390,73.0,65.0
129P04391,73.0,65.0
129P04392,72.0,65.0
129P04393,72.0,65.0
129P04394,73.0,65.0
129P04395,73.0,65.0
129P04396,73.0,65.0
129P04397,72.0,65.0
129P04398,70.0,64.0
129P04423,73.0,65.0
129P04424,71.0,65.0
129P04425,72.0,65.0
129P04426,54.0,47.0
129P04428,68.0,62.0
129P04429,67.0,62.0
129P04432,60.0,56.0
129P04433,62.0,48.0
129P04434,59.0,52.0
129P08581,57.0,51.0
